# Size  MultiplicationTime  EverythingElseTime
2	3e-06	4.4e-05
2	3e-06	4.3e-05
2	3e-06	4.1e-05
2	2e-06	3.6e-05
2	2e-06	4.2e-05
10	2e-06	5.1e-05
10	1e-06	4.9e-05
10	2e-06	4.8e-05
10	2e-06	8.6e-05
10	1e-06	4.1e-05
100	0.001198	0.000297
100	0.001277	0.000294
100	0.003921	0.000302
100	0.001184	0.000298
100	0.001161	0.000278
250	0.035533	0.001536
250	0.036593	0.001492
250	0.016975	0.001523
250	0.03095	0.00745
250	0.037381	0.001428
500	0.29514	0.014021
500	0.166127	0.014299
500	0.257334	0.010053
500	0.292732	0.01406
500	0.294908	0.014656
750	0.592778	0.025066
750	0.49727	0.013165
750	0.521401	0.024832
750	0.500817	0.013133
750	0.590947	0.02689
1000	1.2677	0.049526
1000	1.24687	0.02369
1000	1.23569	0.023741
1000	1.24814	0.024466
1000	1.24008	0.024246
1250	3.86717	0.083386
1250	3.45724	0.038236
1250	3.56948	0.073138
1250	3.47853	0.037597
1250	3.54427	0.038506
2	2e-06	3.4e-05
2	3e-06	4.2e-05
2	3e-06	4.1e-05
2	3e-06	3.5e-05
2	3e-06	4.3e-05
10	1e-06	4.5e-05
10	2e-06	4e-05
10	1e-06	4.5e-05
10	1e-06	4.6e-05
10	1e-06	4.8e-05
100	0.001081	0.000282
100	0.001254	0.000292
100	0.00118	0.000301
100	0.003064	0.00031
100	0.001256	0.000296
250	0.03673	0.001473
250	0.032006	0.001587
250	0.035606	0.001463
250	0.028001	0.001564
250	0.03248	0.001654
500	0.169458	0.013668
500	0.188518	0.013463
500	0.162241	0.009128
500	0.305852	0.01147
500	0.148591	0.006029
750	0.717382	0.017398
750	0.577152	0.028164
750	0.555688	0.027379
750	0.666323	0.027676
750	0.530062	0.025453
1000	1.3346	0.055135
1000	1.3431	0.046854
1000	1.3903	0.044782
1000	1.33639	0.047679
1000	1.25232	0.042362
1250	3.44783	0.073937
1250	3.77974	0.041523
1250	3.76378	0.069674
1250	3.70601	0.075684
1250	4.15004	0.075796
