# Size  MultiplicationTime  EverythingElseTime
2	1e-06	3e-06
2	0	2e-06
2	0	2e-06
2	1e-06	2e-06
2	1e-06	2e-06
10	4e-06	7e-06
10	3e-06	6e-06
10	3e-06	6e-06
10	3e-06	7e-06
10	2e-06	6e-06
100	0.000267	0.000261
100	0.000291	0.000296
100	0.000366	0.000281
100	0.000263	0.000254
100	0.000263	0.00026
250	0.002905	0.002355
250	0.005131	0.001628
250	0.006979	0.001679
250	0.010918	0.00157
250	0.006984	0.001583
500	0.042147	0.012897
500	0.040661	0.016086
500	0.046142	0.012817
500	0.045206	0.014928
500	0.039273	0.015717
750	0.064946	0.015283
750	0.118096	0.031669
750	0.064739	0.015843
750	0.133061	0.026472
750	0.064893	0.014883
1000	0.150791	0.027007
1000	0.151339	0.027133
1000	0.237479	0.052877
1000	0.150745	0.027304
1000	0.154374	0.029186
1250	0.412774	0.095126
1250	0.300172	0.043345
1250	0.299195	0.042539
1250	0.302492	0.043534
1250	0.309412	0.043999
2	0	4e-06
2	1e-06	3e-06
2	0	3e-06
2	1e-06	3e-06
2	0	3e-06
10	4e-06	6e-06
10	4e-06	6e-06
10	3e-06	7e-06
10	4e-06	6e-06
10	4e-06	8e-06
100	0.000267	0.000246
100	0.000299	0.000272
100	0.000307	0.000267
100	0.000273	0.000254
100	0.000287	0.000279
250	0.004119	0.00162
250	0.00669	0.001683
250	0.007077	0.001716
250	0.007619	0.001758
250	0.004981	0.001599
500	0.020571	0.00668
500	0.036678	0.013671
500	0.041343	0.014712
500	0.041052	0.014805
500	0.02052	0.010472
750	0.071519	0.029554
750	0.112848	0.030473
750	0.105379	0.028633
750	0.133081	0.031428
750	0.135471	0.03114
1000	0.171629	0.054654
1000	0.166281	0.053249
1000	0.163981	0.057346
1000	0.304824	0.054337
1000	0.156834	0.038218
1250	0.334229	0.085636
1250	0.302439	0.042763
1250	0.30394	0.057076
1250	0.37175	0.077514
1250	0.32967	0.083646
