# Size  AVG_Mult_Normal  STD_Mult_Normal  AVG_Rest_Normal  STD_Rest_Normal  AVG_Mult_Eigen  STD_Mult_Eigen  AVG_Rest_Eigen  STD_Rest_Eigen
2 0.000000 0.000000 0.000030 0.000004 0.000001 0.000000 0.000006 0.000003
10 0.000004 0.000001 0.000025 0.000007 0.000004 0.000001 0.000005 0.000001
100 0.000702 0.000263 0.000154 0.000050 0.000237 0.000089 0.000416 0.000198
250 0.009998 0.000485 0.000693 0.000075 0.002278 0.000041 0.001956 0.000014
500 0.112005 0.000820 0.002500 0.000130 0.016417 0.000317 0.007972 0.000673
750 0.473866 0.007565 0.005896 0.000236 0.053088 0.000376 0.017864 0.000699
1000 1.109820 0.055145 0.010220 0.000150 0.121744 0.000290 0.031197 0.000304
1250 2.175736 0.055813 0.016118 0.000313 0.236489 0.002206 0.049161 0.000940
