# Size  AvgTime_Normal_Time  AvgTime_Eigen_Time  AvgTime_Normal_GTOD  AvgTime_Eigen_GTOD
2 0.000000 0.000000 0.000030 0.000007
10 0.000000 0.000000 0.000029 0.000009
100 0.000000 0.000000 0.000856 0.000653
250 0.020000 0.010000 0.010691 0.004234
500 0.165200 0.040000 0.114505 0.024389
750 0.859200 0.134400 0.479762 0.070952
1000 1.692000 0.260800 1.120040 0.152941
1250 2.954800 0.389600 2.191854 0.285650
